Fecha,Usuarios,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión de comercio electrónico,Transacciones,CTR de la lista de productos,Número de sesiones por usuario
20220922,2.757,3.078,"41,42 %","5,04",00:03:45,"2,18 %",67,"0,00 %","1,12"
20211116,2.756,3.088,"43,13 %","5,19",00:03:30,"3,50 %",108,"0,00 %","1,12"
20220804,2.744,3.051,"40,87 %","5,59",00:03:48,"2,49 %",76,"0,00 %","1,11"
20220713,2.743,3.023,"44,76 %","4,79",00:02:57,"2,28 %",69,"0,00 %","1,10"
20211013,2.742,3.041,"44,49 %","4,98",00:03:55,"2,70 %",82,"0,00 %","1,11"
20220919,2.741,3.029,"41,20 %","5,05",00:03:10,"2,44 %",74,"0,00 %","1,11"
20220718,2.74,3.057,"42,39 %","5,27",00:03:30,"2,55 %",78,"0,00 %","1,12"
20220802,2.732,3.06,"40,82 %","5,19",00:03:42,"2,39 %",73,"0,00 %","1,12"
20220629,2.728,3.005,"44,46 %","5,11",00:03:22,"3,06 %",92,"0,00 %","1,10"
20220211,2.726,3.026,"48,48 %","4,38",00:02:45,"3,40 %",103,"0,00 %","1,11"
20220322,2.726,3.001,"44,75 %","4,68",00:03:13,"2,70 %",81,"0,00 %","1,10"
20211012,2.722,3.032,"46,37 %","4,94",00:03:13,"2,41 %",73,"0,00 %","1,11"
20220808,2.72,3.049,"40,28 %","5,53",00:03:24,"2,69 %",82,"0,00 %","1,12"
20220913,2.717,2.992,"40,71 %","4,98",00:03:27,"2,14 %",64,"0,00 %","1,10"
20221003,2.707,2.984,"42,16 %","5,13",00:03:23,"2,25 %",67,"0,00 %","1,10"
20220825,2.704,3.027,"40,40 %","5,44",00:03:42,"2,68 %",81,"0,00 %","1,12"
20220207,2.702,3.016,"47,68 %","4,57",00:03:03,"2,32 %",70,"0,00 %","1,12"
20220803,2.702,3.003,"42,09 %","5,25",00:03:31,"2,50 %",75,"0,00 %","1,11"
20220712,2.7,2.998,"42,76 %","5,13",00:03:24,"2,47 %",74,"0,00 %","1,11"
20220331,2.698,3.027,"42,42 %","5,30",00:03:40,"3,14 %",95,"0,00 %","1,12"
20220630,2.696,3.018,"43,61 %","5,14",00:03:32,"2,32 %",70,"0,00 %","1,12"
20220711,2.693,2.992,"43,98 %","4,90",00:03:05,"2,64 %",79,"0,00 %","1,11"
20220203,2.692,2.98,"47,11 %","4,77",00:03:03,"2,08 %",62,"0,00 %","1,11"
20211102,2.685,2.973,"45,75 %","5,25",00:03:38,"3,73 %",111,"0,00 %","1,11"
20211018,2.68,2.962,"43,38 %","5,48",00:03:56,"4,59 %",136,"0,00 %","1,11"
20221005,2.68,3.015,"43,55 %","4,98",00:03:40,"2,16 %",65,"0,00 %","1,12"
20220801,2.677,3.047,"42,70 %","5,40",00:03:50,"3,18 %",97,"0,00 %","1,14"
20220126,2.676,2.921,"47,96 %","4,87",00:03:12,"2,57 %",75,"0,00 %","1,09"
20220405,2.676,3.02,"44,54 %","5,31",00:03:31,"2,65 %",80,"0,00 %","1,13"
20220921,2.675,2.949,"44,05 %","4,79",00:03:10,"2,17 %",64,"0,00 %","1,10"
20220308,2.668,3.02,"44,07 %","4,78",00:03:32,"2,81 %",85,"0,00 %","1,13"
